algoVariants,iterationsMean,hvMean,hvMedian,hvMax,hvMin,hvStdDev,contributionsUnionCumulativeApproxSets,bsr
SC_CRA_A,127,"0,904","0,906","0,906","0,873","0,007","5,000","1,000"
SIC_CRA_A,121,"0,881","0,906","0,906","0,787","0,039","5,000","1,000"
UC_CRA_A,119,"0,506","0,514","0,648","0,350","0,079","2,000","0,400"
SC_CRA_B,289,"0,878","0,892","0,909","0,819","0,030","44,000","0,978"
SIC_CRA_B,274,"0,809","0,825","0,892","0,567","0,068","40,000","0,889"
UC_CRA_B,131,"0,240","0,252","0,508","0,113","0,111","2,000","0,044"
SC_CRA_C,578,"0,797","0,799","0,842","0,741","0,030","59,000","0,311"
SIC_CRA_C,481,"0,757","0,751","0,828","0,684","0,043","165,000","0,868"
UC_CRA_C,164,"0,148","0,134","0,275","0,069","0,055","0,000","0,000"
SC_CRA_D,993,"0,709","0,723","0,778","0,604","0,043","27,000","0,129"
SIC_CRA_D,769,"0,661","0,674","0,762","0,470","0,054","183,000","0,871"
UC_CRA_D,244,"0,055","0,053","0,098","0,017","0,021","0,000","0,000"
SC_CRA_E,1250,"0,703","0,707","0,783","0,607","0,050","44,000","0,185"
SIC_CRA_E,992,"0,676","0,685","0,742","0,564","0,045","194,000","0,815"
UC_CRA_E,377,"0,026","0,026","0,055","0,000","0,012","0,000","0,000"
